,image,image height,image width,image area,red values,green values,blue values,sobel edges avg,sobel edges max,sobel edges min,binary edges avg,binary edges median,binary edges max,binary edges min
0,0,42,176,7392,99.10146103896103,99.10146103896103,99.10146103896103,0.023776075554914372,0.1915928473222076,7.068627450983189e-05,17.573863636363637,23.0,25.0,0.0
1,1,163,189,30807,92.03258999578019,92.03258999578019,92.03258999578019,0.02236618539409669,0.29120066517663995,0.0,17.751095530236636,23.0,25.0,0.0
2,2,72,72,5184,70.65258487654322,70.65258487654322,70.65258487654322,0.026030702953974538,0.16483280971588493,0.00015224303326088467,16.97067901234568,22.0,25.0,0.0
3,3,46,48,2208,122.41077898550725,122.41077898550725,122.41077898550725,0.05020073083032606,0.46231024846158497,0.0003948706103567117,15.889945652173912,15.0,25.0,0.0
4,4,80,63,5040,49.22539682539683,49.22539682539683,49.22539682539683,0.027388845761785956,0.37316486669333715,0.00022539064298548775,18.269444444444446,25.0,25.0,0.0
5,5,109,63,6867,65.3419251492646,65.3419251492646,65.3419251492646,0.01831685243323277,0.14686749236345514,7.068627450979026e-05,17.07121013543032,21.0,25.0,0.0
6,6,39,28,1092,63.90750915750916,63.90750915750916,63.90750915750916,0.03721725828024814,0.30234026965335886,0.00015149508019515545,17.77747252747253,25.0,25.0,0.0
7,7,37,54,1998,48.311811811811815,48.311811811811815,48.311811811811815,0.026003073825997126,0.15059024372441548,0.00015738311359369633,17.312812812812812,24.0,25.0,0.0
8,8,31,47,1457,66.70212765957447,66.70212765957447,66.70212765957447,0.022255404138825537,0.1040216903256642,0.000696882854708923,16.142759094028825,17.0,25.0,0.0
9,9,116,118,13688,59.447472238457046,59.447472238457046,59.447472238457046,0.023379470680568892,0.28305709078029373,0.0001421764692361471,17.074956165984805,21.0,25.0,0.0
10,10,147,83,12201,81.5887222358823,81.5887222358823,81.5887222358823,0.03261612748358677,0.5063775770301214,6.706434159153734e-05,17.985738873862797,24.0,25.0,0.0
11,11,22,42,924,163.47727272727272,163.47727272727272,163.47727272727272,0.04346090503486592,0.3623889886959002,7.637254901961264e-05,16.658008658008658,22.0,25.0,0.0
12,12,109,88,9592,64.2256046705588,64.2256046705588,64.2256046705588,0.039342600511531066,0.5261355457135389,0.00016791759503868685,18.190783986655546,24.0,25.0,0.0
13,13,286,413,118118,111.31081630234172,111.31081630234172,111.31081630234172,0.026866091009066305,0.6099512121018229,0.0,20.477260028107487,25.0,25.0,0.0
14,14,73,69,5037,70.63291641850307,70.63291641850307,70.63291641850307,0.00753135487030869,0.11159464663970628,0.00013764705882349929,20.386539606908876,25.0,25.0,0.0
15,15,106,65,6890,55.88084179970972,55.88084179970972,55.88084179970972,0.03667190235519333,0.3542420840891591,3.925231146709437e-17,18.891727140783743,25.0,25.0,0.0
16,16,84,97,8148,62.068114874815905,62.068114874815905,62.068114874815905,0.023435957339459374,0.2043652403182508,6.798014048358309e-06,17.664089347079038,24.0,25.0,0.0
17,17,147,188,27636,95.82508322477928,95.82508322477928,95.82508322477928,0.021517221137812854,0.45243488173710306,9.813077866773593e-18,18.053263858734983,24.0,25.0,0.0
