,image,image height,image width,image area,damage_labels,red values,green values,blue values,sobel edges avg,sobel edges min,sobel edges max,binary edges avg,binary edges max,binary edges min
0,0,65,54,3510,3,75.7022792022792,105.27578347578347,101.08404558404558,0.057135820309187395,0.00040002962693049687,0.46545140602631785,18.61880341880342,25.0,0.0
1,1,67,105,7035,0,88.45159914712154,119.42288557213931,110.24832977967306,0.037587542709805945,0.0004098235875757461,0.29703661034287826,17.093248045486853,25.0,0.0
2,2,54,56,3024,1,111.97156084656085,122.16071428571429,119.0433201058201,0.06694540932388658,0.0008475129558323831,0.5312652408731317,18.507275132275133,25.0,0.0
3,3,114,124,14136,0,96.97969722693831,128.50396151669497,127.72538200339558,0.025929094785331185,1.9626155733547187e-17,0.41058779448746874,17.523910582908886,25.0,0.0
4,4,58,51,2958,2,87.17985125084516,108.7789046653144,96.31135902636917,0.06485619854209823,0.0006472393761762829,0.4183629311471389,15.157200811359026,25.0,0.0
5,5,43,43,1849,1,79.80962682531099,101.36343969713359,87.30394808004327,0.05761547063983008,0.0006436166986841503,0.4355570989787231,17.981611681990266,25.0,0.0
6,6,72,69,4968,2,70.72644927536231,99.5281803542673,88.47866344605475,0.060432883742408836,0.0,0.7603641525585982,16.05575684380032,25.0,0.0
7,7,12,33,396,1,97.13636363636364,120.68181818181819,127.57575757575758,0.05202489692554122,0.0018588412885930808,0.29312522322388407,13.94949494949495,25.0,0.0
8,8,50,44,2200,1,125.91545454545455,134.62227272727273,134.19363636363636,0.08321393238596211,0.001123922188641496,0.313680919504116,15.632272727272728,25.0,0.0
9,9,51,69,3519,1,62.44359192952543,84.5674907644217,74.66894003978403,0.0544220198855925,0.0,0.5974393922306168,15.789144643364592,25.0,0.0
10,10,42,57,2394,2,89.85421888053467,118.93984962406014,111.8078529657477,0.07400027020636506,0.0007154786161266682,0.4509761351377618,18.528404344193817,25.0,0.0
11,11,37,32,1184,3,76.73226351351352,109.47719594594595,102.42989864864865,0.055809477995476135,0.0024100287870325162,0.3140810342075973,17.877533783783782,25.0,0.0
12,12,78,77,6006,1,88.02680652680652,107.04562104562105,95.21128871128872,0.0380627706943332,0.00029334960175603767,0.3031785814498166,15.906759906759907,25.0,0.0
13,13,34,31,1054,0,69.57874762808349,99.20208728652752,88.17457305502846,0.041850750892337855,0.0012958612511224485,0.18115335751401498,17.014231499051235,25.0,0.0
14,14,131,37,4847,1,90.24840107282856,109.89952547967815,109.2242624303693,0.04620876216871822,0.0002548629872166605,0.29044073533410686,16.559108727047658,25.0,0.0
15,15,89,50,4450,1,67.13662921348315,87.64808988764045,77.36247191011236,0.0326702826618057,0.0002496987997178632,0.32693836561658435,17.317078651685392,25.0,0.0
16,16,103,88,9064,0,103.13526037069727,124.95917917034421,114.07667696381289,0.07453748420183162,0.000814921823155188,0.4374822405404729,18.433583406884377,25.0,0.0
17,17,106,107,11342,1,86.48183741844471,117.78169634985011,110.03350379121848,0.03286686735508635,0.0001491176470588316,0.2708927991435643,16.852847822253572,25.0,0.0
18,18,87,135,11745,0,89.11094082588336,121.52848020434227,115.65823754789272,0.03897840409765672,9.602889879656262e-05,0.30267569776589254,16.944316730523628,25.0,0.0
19,19,33,53,1749,2,107.80503144654088,126.77644368210406,124.26986849628359,0.04963611303232904,0.0009831585479912503,0.27203068758699317,15.333333333333334,25.0,0.0
20,20,59,80,4720,1,97.21737288135593,125.14088983050847,119.74639830508474,0.03607833559713635,0.00029587829230963203,0.18636024720374578,16.828601694915253,25.0,0.0
21,21,53,66,3498,2,60.07947398513436,88.18067467124071,78.68410520297313,0.040413018370743806,0.00039459331357975493,0.3441966411802831,18.88479130931961,25.0,0.0
22,22,40,35,1400,1,83.48,106.40428571428572,91.36214285714286,0.03896743048289649,0.0005139466014955026,0.24046562693294718,17.625,25.0,0.0
23,23,37,31,1147,1,84.29293809938972,102.16216216216216,86.61290322580645,0.046175511512303744,0.0009400254399528463,0.17334973032463472,14.672188317349608,25.0,0.0
24,24,131,104,13624,0,78.76181738109219,112.44458308866706,109.76636817381092,0.029659977494698512,0.00019068393062727446,0.24871484729393697,17.207941867293012,25.0,0.0
25,25,45,48,2160,1,105.5662037037037,120.41990740740741,109.80925925925926,0.054332925187623726,0.0011773092966296697,0.21433758331148953,15.277777777777779,25.0,0.0
26,26,24,40,960,1,96.32291666666667,119.01666666666667,119.26875,0.08142809026868986,0.0,0.6678470012607555,15.05,25.0,0.0
27,27,42,43,1806,1,76.57862679955703,97.29069767441861,90.65227021040974,0.04261512601480765,0.0005984063321926585,0.24582167614957107,15.802879291251385,25.0,0.0
28,28,53,78,4134,1,78.13038219641993,104.18505079825835,100.32123850991775,0.05380153710233374,0.00011090527839838969,0.3658189573654632,15.869134010643444,25.0,0.0
29,29,32,42,1344,1,63.91889880952381,93.17261904761905,76.32886904761905,0.03800442657314054,0.0001999309761707754,0.1980562716411178,18.014136904761905,25.0,0.0
30,30,102,109,11118,1,90.29735563950351,119.55468609462133,118.49550278827127,0.026813474785353505,0.00020833333333335202,0.24641502607356675,17.992804461234034,25.0,0.0
31,31,121,119,14399,0,77.71831377178971,108.02632127231058,101.04833669004792,0.03160664039036059,0.00021206788845039537,0.21838679044759798,17.551357733175916,25.0,0.0
32,32,61,87,5307,3,89.64669304691917,120.89165253438854,115.84850197851894,0.06329290650441373,0.0002083333333333104,0.3729228955039907,18.71641228566045,25.0,0.0
33,33,187,172,32164,1,102.316751647805,130.59094018156947,129.0090473821664,0.04447777474101255,0.0,0.4351933945810485,17.349987563735855,25.0,0.0
34,34,60,55,3300,3,57.26151515151515,84.38515151515152,61.161212121212124,0.043200783832725256,0.0001414868592276071,0.19394013489395015,18.466060606060605,25.0,0.0
